julian, epoch, x, y, z, vx, vy, vz, LT, RG, RR
2438030.500000000, A.D. 1963-Jan-01, -2.583505405693722E+01,  3.564679153583584E+01,  1.770169209076929E+01, -2.981305764691623E-03, -1.563499699714228E-03,  1.017290684360745E-03,  2.740478073074071E-01,  4.744990693142200E+01,  8.281620920177393E-04

2438211.500000000, A.D. 1963-Jul-01, -2.617556165503545E+01,  3.540990870771444E+01,  1.786207777574162E+01, -2.413150297984454E-03, -2.314271210431676E-03,  9.167659729932200E-04,  2.744480785436167E-01,  4.751921174758558E+01, -5.065788505808215E-05

2438395.500000000, A.D. 1964-Jan-01, -2.651489266648688E+01,  3.516181109774093E+01,  1.802275794233962E+01, -8.489469857479739E-04, -1.878143500889895E-03,  7.303807385297189E-04,  2.748207616924424E-01,  4.758373983449287E+01, -6.381531513799831E-04

2438577.500000000, A.D. 1964-Jul-01, -2.684553645317638E+01,  3.491945470777996E+01,  1.817988763940371E+01, -8.729966335822052E-04, -7.190553175718496E-04,  7.626228571191370E-04,  2.752056883382782E-01,  4.765038781719266E+01,  2.558518779832676E-04

2438761.500000000, A.D. 1965-Jan-01, -2.718102334392362E+01,  3.467725897422373E+01,  1.833768691454550E+01, -2.438345025400591E-03, -3.916983625799009E-04,  9.588655706135620E-04,  2.756314967277095E-01,  4.772411425437034E+01,  1.472569270735156E-03

2438942.500000000, A.D. 1965-Jul-01, -2.751329282010711E+01,  3.443133859811430E+01,  1.849168747262690E+01, -2.937597286736215E-03, -1.180580754752763E-03,  9.888564047039472E-04,  2.760456621013424E-01,  4.779582476585439E+01,  1.223111485274979E-03

2439126.500000000, A.D. 1966-Jan-01, -2.785092913809787E+01,  3.417200073768231E+01,  1.864665061365124E+01, -2.002478191494264E-03, -2.532160215262285E-03,  8.242168991931487E-04,  2.764475524690619E-01,  4.786540992594850E+01, -3.215102097039623E-04

2439307.500000000, A.D. 1966-Jul-01, -2.817448051284030E+01,  3.391355900759199E+01,  1.879667100362474E+01, -1.095296265978832E-03, -2.332031231472279E-03,  7.117384208597266E-04,  2.768182304820715E-01,  4.792959083435147E+01, -7.271032764994619E-04

2439491.500000000, A.D. 1967-Jan-01, -2.849521509389679E+01,  3.365025397505291E+01,  1.894687863678219E+01, -8.587947350232402E-04, -7.380391611665596E-04,  7.254725504088637E-04,  2.771828288953440E-01,  4.799271909269113E+01,  2.788292911737752E-04

2439672.500000000, A.D. 1967-Jul-01, -2.881261232022877E+01,  3.339208659475383E+01,  1.909364851287118E+01, -1.645346178852947E-03, -3.069521646876329E-04,  8.291445262546643E-04,  2.775715245363739E-01,  4.806001965667935E+01,  1.102545168507365E-03

2439856.500000000, A.D. 1968-Jan-01, -2.913847583859414E+01,  3.312815539437057E+01,  1.924192927708455E+01, -2.878401746499201E-03, -1.362197448508203E-03,  9.412338095385809E-04,  2.779925203251598E-01,  4.813291281788607E+01,  1.181235501030261E-03

2440038.500000000, A.D. 1968-Jul-01, -2.945815090822250E+01,  3.285691991239628E+01,  1.938669219555873E+01, -2.365497090466000E-03, -2.443517954888455E-03,  8.372417664557767E-04,  2.783778072835431E-01,  4.819962318676954E+01,  1.167653305788752E-04

2440222.500000000, A.D. 1969-Jan-01, -2.977287891685406E+01,  3.257528411739479E+01,  1.953048965821840E+01, -7.631142896779682E-04, -2.146091737684999E-03,  6.418883828064144E-04,  2.787256698048399E-01,  4.825985371524060E+01, -7.180511680188610E-04

2440403.500000000, A.D. 1969-Jul-01, -3.007716129477846E+01,  3.230103119012301E+01,  1.967011356326045E+01, -5.805387479192824E-04, -1.251194399780689E-03,  6.404539141264600E-04,  2.790780189330406E-01,  4.832086107561599E+01, -2.143196606964053E-04

2440587.500000000, A.D. 1970-Jan-01, -3.038382287839726E+01,  3.202570670793975E+01,  1.981054108193781E+01, -1.937686836184265E-03, -4.143595021794054E-04,  8.269265113732527E-04,  2.794587135258605E-01,  4.838677630105089E+01,  1.281053298025482E-03

