julian, epoch, x, y, z, vx, vy, vz, LT, RG, RR

2435473.500000000, A.D. 1956-Jan-01,  8.788974717709183E+01,  1.415241243956761E+01, -3.879554605814506E+01,  5.347774053919173E-04, -3.718748928334868E-05,  6.314319307375476E-04,  5.608499014751445E-01,  9.710815017629778E+01,  2.263292182847009E-04

2435655.500000000, A.D. 1956-Jul-01,  8.793924926190108E+01,  1.434509530183861E+01, -3.866831561450008E+01,  1.359742240706110E-03,  7.965178295806521E-04,  5.576365405884633E-04,  5.609789215165107E-01,  9.713048930396775E+01,  1.126710789237375E-03

2435839.500000000, A.D. 1957-Jan-01,  8.799088844380088E+01,  1.454642347204055E+01, -3.853933764207069E+01,  5.319794451464425E-04,  2.191528007827533E-03,  7.052320964040594E-04,  5.611258754302404E-01,  9.715593358538052E+01,  5.301689632817424E-04

2436020.500000000, A.D. 1957-Jul-01,  8.803495002615483E+01,  1.474464718012682E+01, -3.841129242264542E+01, -3.777307533762590E-04,  2.037389466630520E-03,  8.144362483718074E-04,  5.612361069948937E-01,  9.717501958915150E+01, -3.549931678378574E-04

2436204.500000000, A.D. 1958-Jan-01,  8.807334185272654E+01,  1.494366179777296E+01, -3.828007989144436E+01, -7.178463307487182E-04,  4.443651897463964E-04,  8.083444868380348E-04,  5.613135639315260E-01,  9.718843084199280E+01, -9.005822293164805E-04

2436385.500000000, A.D. 1958-Jul-01,  8.811471135879789E+01,  1.513493767102461E+01, -3.815126841947715E+01,  4.582940606048008E-05, -6.137585775940275E-05,  7.000913613602113E-04,  5.614085450252315E-01,  9.720487630857343E+01, -2.427866711688719E-04

2436569.500000000, A.D. 1959-Jan-01,  8.816192276263682E+01,  1.532726347086221E+01, -3.802070470474806E+01,  1.360750919351185E-03,  8.839001428621289E-04,  5.692085205065197E-04,  5.615343631400094E-01,  9.722666103984039E+01,  1.150635818946412E-03

2436750.500000000, A.D. 1959-Jul-01,  8.820753675717877E+01,  1.552271506630355E+01, -3.789166466713930E+01,  1.135517521183723E-03,  1.781469194152152E-03,  6.267402953592200E-04,  5.616614364509460E-01,  9.724866310158522E+01,  1.070104264308629E-03

2436934.500000000, A.D. 1960-Jan-01,  8.825029062857503E+01,  1.572715791010406E+01, -3.775955851469292E+01, -4.713428624452092E-04,  1.986002299346154E-03,  8.329413448938548E-04,  5.617783935240310E-01,  9.726891359104319E+01, -4.298749593572544E-04

