julian, epoch, x, y, z, vx, vy, vz, LT, RG, RR
2437116.500000000, A.D. 1960-Jul-01, -3.010244326985710E+01,  1.332715079415055E+01,  7.279551355573127E+00, -1.640670571002321E-03, -3.276905872873459E-03,  6.053129888304198E-04,  1.947267980169903E-01,  3.371589991448277E+01,  3.002376058821306E-04

2437300.500000000, A.D. 1961-Jan-01, -3.019796315125184E+01,  1.275147953857600E+01,  7.367881260665838E+00, -2.881072052718531E-04, -4.233510706032341E-03,  4.164495961479842E-04,  1.940439120276899E-01,  3.359766187070697E+01, -1.256483958999537E-03

2437481.500000000, A.D. 1961-Jul-01, -3.027843306101273E+01,  1.218437289571900E+01,  7.452197921248643E+00,  5.170890320419507E-04, -3.764646349538629E-03,  3.138015015578191E-04,  1.933529080514998E-01,  3.347801824107310E+01, -1.767965751818078E-03

2437665.500000000, A.D. 1962-Jan-01, -3.034807098048681E+01,  1.160948958785773E+01,  7.535576385178872E+00,  2.510463122674924E-04, -2.174406388499643E-03,  3.940673894200661E-04,  1.926436733852526E-01,  3.335521806530589E+01, -8.962014476634837E-04

2437846.500000000, A.D. 1962-Jul-01, -3.041449299838775E+01,  1.104354865323841E+01,  7.616349528186410E+00, -6.290738116090865E-04, -2.048107351793337E-03,  5.066764741914437E-04,  1.919880053639637E-01,  3.324169266660358E+01,  1.123928859360323E-05

2438030.500000000, A.D. 1963-Jan-01, -3.048035702743202E+01,  1.046511806951979E+01,  7.697195864893863E+00, -1.414562472679174E-03, -3.451337980705524E-03,  5.449796174121642E-04,  1.913621659544311E-01,  3.313333193192700E+01,  3.378025675038823E-04

2438211.500000000, A.D. 1963-Jul-01, -3.053481086660840E+01,  9.887731892861247E+00,  7.774154735956769E+00, -8.262837325655553E-04, -4.199267564563053E-03,  4.631321216626057E-04,  1.907302646344781E-01,  3.302392160999737E+01, -3.842776064458859E-04

2438395.500000000, A.D. 1964-Jan-01, -3.057731218852755E+01,  9.294071093414869E+00,  7.849539124652882E+00,  7.742937997122450E-04, -3.765397061002659E-03,  2.594068676367410E-04,  1.900634405834331E-01,  3.290846460462082E+01, -1.720999978062361E-03

2438577.500000000, A.D. 1964-Jul-01, -3.060834314224965E+01,  8.710538925590093E+00,  7.921801819912595E+00,  7.961761433130922E-04, -2.580915182263081E-03,  3.011065885427895E-04,  1.894069857749562E-01,  3.279480297793985E+01, -1.355869954875284E-03

2438761.500000000, A.D. 1965-Jan-01, -3.063472867517707E+01,  8.124169296389478E+00,  7.993200394456945E+00, -7.468705159294790E-04, -2.257895160664744E-03,  5.004870164331004E-04,  1.887790678759532E-01,  3.268608236396739E+01,  2.611859688279757E-04

2438942.500000000, A.D. 1965-Jul-01, -3.065679151820198E+01,  7.540560716785363E+00,  8.061647843385737E+00, -1.196579010171503E-03, -3.035743661949235E-03,  5.094969917992800E-04,  1.881870106351029E-01,  3.258357083047826E+01,  5.493397044981633E-04

