julian, epoch, x, y, z, vx, vy, vz, LT, RG, RR
2436934.500000000, A.D. 1960-Jan-01, -4.216768471445384E+01,  2.394365475434164E+01,  1.239321568997436E+01, -1.693648854349374E-03, -8.371162298326181E-04,  1.067014596637383E-03,  2.890647808988955E-01,  5.005001530779904E+01,  1.290656367516520E-03

2437116.500000000, A.D. 1960-Jul-01, -4.235182083353764E+01,  2.362667841823701E+01,  1.256669768287303E+01, -2.107170754727659E-03, -1.942009950132793E-03,  1.080604182478182E-03,  2.893424331300036E-01,  5.009808930136543E+01,  1.136548330748249E-03

2437300.500000000, A.D. 1961-Jan-01, -4.253401881525528E+01,  2.329762718628105E+01,  1.274078972412023E+01, -7.807662183626084E-04, -2.899587487464988E-03,  8.840343162037426E-04,  2.895977533986360E-01,  5.014229663549207E+01, -4.603117422192036E-04

2437481.500000000, A.D. 1961-Jul-01, -4.270427127548759E+01,  2.297459021741008E+01,  1.291040904658888E+01,  9.359913170493980E-06, -2.404321682411239E-03,  7.990344368023622E-04,  2.898231545967871E-01,  5.018132364315028E+01, -9.031677318088671E-04

2437665.500000000, A.D. 1962-Jan-01, -4.286982438065767E+01,  2.264924652143678E+01,  1.308142985657596E+01, -2.925711126166225E-04, -8.186937555701945E-04,  8.826652843971525E-04,  2.900399532883623E-01,  5.021886117296732E+01,  1.104405674758612E-04

2437846.500000000, A.D. 1962-Jul-01, -4.303529285067889E+01,  2.233010261075538E+01,  1.324942850183882E+01, -1.180757383806120E-03, -6.704227813453277E-04,  9.936153159541008E-04,  2.902861506526891E-01,  5.026148892517905E+01,  9.750699080500804E-04

2438030.500000000, A.D. 1963-Jan-01, -4.320671190268747E+01,  2.200377576594143E+01,  1.341993792361403E+01, -2.004027430650470E-03, -2.072533122994604E-03,  1.047897075986337E-03,  2.905654510685320E-01,  5.030984829308592E+01,  1.094151489480373E-03

