julian, epoch, x, y, z, vx, vy, vz, LT, RG, RR
2453187.500000000, A.D. 2004-Jul-01,0,0,0,0,0,0,0,0,0
2453371.500000000, A.D. 2005-Jan-01,0,0,0,0,0,0,0,0,0
2453552.500000000, A.D. 2005-Jul-01,0,0,0,0,0,0,0,0,0
2453736.500000000, A.D. 2006-Jan-01,0,0,0,0,0,0,0,0,0
2453917.500000000, A.D. 2006-Jul-01,0,0,0,0,0,0,0,0,0
2454101.500000000, A.D. 2007-Jan-01,0,0,0,0,0,0,0,0,0
2454282.500000000, A.D. 2007-Jul-01,0,0,0,0,0,0,0,0,0
2454466.500000000, A.D. 2008-Jan-01,0,0,0,0,0,0,0,0,0
2454648.500000000, A.D. 2008-Jul-01,0,0,0,0,0,0,0,0,0
2454832.500000000, A.D. 2009-Jan-01,0,0,0,0,0,0,0,0,0
2455013.500000000, A.D. 2009-Jul-01,0,0,0,0,0,0,0,0,0
2455197.500000000, A.D. 2010-Jan-01,0,0,0,0,0,0,0,0,0
2455378.500000000, A.D. 2010-Jul-01,0,0,0,0,0,0,0,0,0
2455562.500000000, A.D. 2011-Jan-01,0,0,0,0,0,0,0,0,0
2455743.500000000, A.D. 2011-Jul-01,0,0,0,0,0,0,0,0,0
2455927.500000000, A.D. 2012-Jan-01,0,0,0,0,0,0,0,0,0
2456109.500000000, A.D. 2012-Jul-01,0,0,0,0,0,0,0,0,0
2456293.500000000, A.D. 2013-Jan-01,0,0,0,0,0,0,0,0,0
2456474.500000000, A.D. 2013-Jul-01,0,0,0,0,0,0,0,0,0
2456658.500000000, A.D. 2014-Jan-01,0,0,0,0,0,0,0,0,0
2456839.500000000, A.D. 2014-Jul-01,0,0,0,0,0,0,0,0,0
2457023.500000000, A.D. 2015-Jan-01,0,0,0,0,0,0,0,0,0
2457204.500000000, A.D. 2015-Jul-01,0,0,0,0,0,0,0,0,0
2457388.500000000, A.D. 2016-Jan-01,0,0,0,0,0,0,0,0,0
